"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"02.04.2025","2.926,39","2.919,67","2.958,40","2.917,94","71,07B","-1,28%"
"01.04.2025","2.964,43","3.032,41","3.044,23","2.952,04","87,84B","-1,62%"
"31.03.2025","3.013,36","3.008,60","3.031,60","2.970,94","77,26B","-0,41%"
"28.03.2025","3.025,65","3.055,81","3.082,26","3.001,62","106,84B","-1,89%"
"27.03.2025","3.083,99","3.120,47","3.124,32","3.076,04","76,69B","-1,98%"
"26.03.2025","3.146,31","3.195,03","3.200,02","3.143,65","47,01B","-0,58%"
"25.03.2025","3.164,62","3.186,87","3.194,43","3.122,61","83,46B","-0,44%"
"24.03.2025","3.178,66","3.201,66","3.202,62","3.171,13","58,38B","-0,41%"
"21.03.2025","3.191,61","3.218,29","3.237,19","3.191,61","73,61B","-0,98%"
"20.03.2025","3.223,14","3.238,00","3.240,50","3.180,46","116,66B","-0,21%"
"19.03.2025","3.229,79","3.213,51","3.236,47","3.192,85","75,79B","-0,85%"
"18.03.2025","3.257,49","3.263,17","3.280,09","3.227,47","96,08B","0,38%"
"17.03.2025","3.245,19","3.249,15","3.257,33","3.213,42","88,62B","1,57%"
"14.03.2025","3.195,08","3.158,40","3.200,36","3.135,00","78,07B","2,35%"
"13.03.2025","3.121,57","3.149,33","3.160,37","3.100,06","102,82B","-1,96%"
"12.03.2025","3.183,97","3.185,44","3.194,93","3.160,01","60,40B","-0,53%"
"11.03.2025","3.200,95","3.193,02","3.215,06","3.178,42","64,26B","0,00%"
"10.03.2025","3.200,81","3.224,63","3.226,58","3.195,24","69,03B","1,07%"
"07.03.2025","3.166,88","3.229,51","3.249,00","3.160,45","142,72B","-1,27%"
"06.03.2025","3.207,70","3.230,89","3.234,26","3.188,78","93,76B","-1,71%"
"05.03.2025","3.263,62","3.242,44","3.282,15","3.231,30","98,51B","0,68%"
"04.03.2025","3.241,63","3.201,83","3.246,09","3.194,28","117,35B","3,05%"
"03.03.2025","3.145,73","3.189,81","3.191,13","3.127,69","100,92B","-1,71%"
"28.02.2025","3.200,48","3.199,93","3.210,07","3.149,37","112,67B","-1,00%"
"27.02.2025","3.232,65","3.249,63","3.261,13","3.190,72","101,07B","-1,32%"
"26.02.2025","3.276,00","3.338,40","3.339,41","3.233,39","134,68B","-1,51%"
"25.02.2025","3.326,14","3.362,15","3.371,06","3.320,24","139,82B","0,68%"
"24.02.2025","3.303,63","3.310,75","3.316,42","3.272,99","87,20B","0,62%"
"21.02.2025","3.283,29","3.310,03","3.320,05","3.258,82","94,60B","-0,28%"
"20.02.2025","3.292,62","3.294,54","3.325,50","3.277,51","105,29B","0,67%"
"19.02.2025","3.270,64","3.273,05","3.287,75","3.221,53","98,15B","0,36%"
"18.02.2025","3.258,76","3.314,88","3.333,38","3.252,74","191,41B","-1,50%"
"17.02.2025","3.308,41","3.255,81","3.316,76","3.244,80","149,87B","3,87%"
"14.02.2025","3.185,00","3.265,12","3.288,32","3.150,82","266,22B","-0,69%"
"13.02.2025","3.206,97","3.226,02","3.247,68","3.144,12","243,31B","5,99%"
"12.02.2025","3.025,63","3.040,72","3.059,35","3.020,60","114,30B","0,25%"
"11.02.2025","3.018,02","2.992,37","3.019,61","2.982,61","88,79B","0,19%"
"10.02.2025","3.012,39","2.991,99","3.020,01","2.982,39","94,34B","1,55%"
